,Date,temp ©,rain (cm)
755,2/21/2017,31,0
756,2/22/2017,30,0
757,2/23/2017,30,0
758,2/24/2017,31,0
759,2/25/2017,30,0
760,2/26/2017,30,0
761,2/27/2017,29,0
762,2/28/2017,30,0
763,3/1/2017,30,0
764,3/2/2017,30,0
765,3/3/2017,29,0
766,3/4/2017,30,0
767,3/5/2017,31,0
768,3/6/2017,30,0
769,3/7/2017,31,0.5
770,3/8/2017,31,0.3
771,3/9/2017,31,0.3
772,3/10/2017,31,4.3
773,3/11/2017,33,0
774,3/14/2017,31,0.2
775,3/15/2017,30,0.6
776,3/16/2017,31,0
777,3/17/2017,32,0
778,3/18/2017,32,0
779,3/19/2017,32,0
780,3/20/2017,33,0
781,3/21/2017,32,0
782,3/22/2017,32,0
783,3/23/2017,32,0
784,3/24/2017,32,0
785,3/25/2017,33,0
786,3/26/2017,32,0
787,3/27/2017,32,0
788,3/28/2017,32,0
789,3/29/2017,33,0
790,3/30/2017,33,0
791,3/31/2017,33,0
792,4/1/2017,34,0
793,4/2/2017,34,0
794,4/3/2017,34,0
795,4/6/2017,34,0
796,4/7/2017,36,0
797,4/8/2017,35,0
798,4/9/2017,34,0
799,4/10/2017,35,0
800,4/11/2017,35,0
801,4/14/2017,33,0.1
802,4/16/2017,36,0
803,4/18/2017,36,0
804,4/21/2017,37,0
805,4/22/2017,38,0
806,4/26/2017,37,0
807,4/27/2017,36,0
808,4/30/2017,37,0.3
809,5/1/2017,34,5.8
810,5/2/2017,34,0
811,5/3/2017,34,0
812,5/4/2017,34,0
813,5/5/2017,35,0
814,5/6/2017,35,0
815,5/7/2017,35,0
816,5/8/2017,38,0
817,5/9/2017,36,0
818,5/10/2017,36,0.4
819,5/11/2017,35,0
820,5/12/2017,34,0
821,5/13/2017,36,0
822,5/14/2017,38,0.1
823,5/15/2017,40,0
824,5/16/2017,42,0.2
825,5/17/2017,43,0
826,5/18/2017,42,0
827,5/19/2017,41,0.6
828,5/20/2017,41,0
829,5/21/2017,40,0.1
830,5/22/2017,40,0.1
831,5/23/2017,40,0
832,5/24/2017,39,0
833,5/25/2017,38,0
834,5/26/2017,40,0.1
835,5/27/2017,37,1.6
836,5/28/2017,39,0.6
837,5/29/2017,40,1.4
838,5/30/2017,39,0.1
839,5/31/2017,39,0.3
840,6/1/2017,38,0
841,6/2/2017,37,0
842,6/3/2017,38,0
843,6/4/2017,38,0.3
844,6/5/2017,40,0.9
845,6/6/2017,38,3.3
846,6/7/2017,34,4
847,6/8/2017,30,5.8
848,6/9/2017,34,0
849,6/10/2017,34,0.6
850,6/11/2017,33,0
851,6/12/2017,33,4.3
852,6/13/2017,33,7.8
853,6/14/2017,33,8.6
854,6/15/2017,28,17.2
855,6/16/2017,28,3.1
856,6/17/2017,32,6.1
857,6/18/2017,33,10.7
858,6/19/2017,33,0.1
859,6/20/2017,33,3.8
860,6/21/2017,35,0.7
861,6/22/2017,35,0.1
862,6/23/2017,34,2.4
863,6/24/2017,34,3.1
864,6/25/2017,33,1.4
865,6/26/2017,31,1.4
866,6/27/2017,32,2.4
867,6/28/2017,29,1.6
868,6/29/2017,34,0
869,6/30/2017,34,0
870,7/1/2017,33,0.2
871,7/2/2017,34,0.1
872,7/3/2017,35,0.1
873,7/4/2017,35,0
874,7/5/2017,36,0.2
875,7/6/2017,34,0.9
876,7/7/2017,34,9.2
877,7/8/2017,32,2.2
878,7/9/2017,34,1.5
879,7/10/2017,35,0.1
880,7/11/2017,34,0.2
881,7/12/2017,34,0
882,7/13/2017,34,0.4
883,7/14/2017,31,1.7
884,7/15/2017,32,0
885,7/16/2017,32,0.4
886,7/17/2017,31,0.4
887,7/18/2017,26,9.6
888,7/19/2017,31,3.6
889,7/20/2017,34,0
890,7/21/2017,35,0
891,7/22/2017,36,0
892,7/23/2017,36,0
893,7/24/2017,35,0
894,7/25/2017,36,0
895,7/26/2017,36,0
896,7/27/2017,36,0
897,7/28/2017,35,0
898,7/29/2017,35,0
899,7/30/2017,35,0
900,7/31/2017,36,0.2
901,8/1/2017,36,0
902,8/2/2017,36,0.2
903,8/3/2017,36,0
904,8/4/2017,35,0.3
905,8/5/2017,34,5
906,8/6/2017,35,1
907,8/7/2017,35,3.3
908,8/8/2017,31,18.1
909,8/9/2017,31,3
910,8/10/2017,33,0
911,8/11/2017,33,1
912,8/12/2017,33,0
913,8/13/2017,32,0
914,8/14/2017,33,0
915,8/15/2017,34,0
916,8/16/2017,34,0.5
917,8/17/2017,32,0.4
918,8/18/2017,27,12.9
919,8/19/2017,26,16.4
920,8/20/2017,30,0.1
921,8/21/2017,32,0
922,8/22/2017,33,0
923,8/23/2017,34,0.5
924,8/24/2017,33,0.3
925,8/25/2017,28,4.2
926,8/26/2017,32,0.8
927,8/27/2017,30,10.5
928,8/28/2017,28,7
929,8/29/2017,31,0.8
930,8/30/2017,33,0
931,8/31/2017,33,0
932,9/1/2017,33,0
933,9/2/2017,33,0
934,9/3/2017,34,1.9
935,9/4/2017,34,0.4
936,9/5/2017,33,2.2
937,9/6/2017,33,0.1
938,9/7/2017,32,4.7
939,9/8/2017,32,1.1
940,9/9/2017,32,2.2
941,9/10/2017,32,0.3
942,9/11/2017,31,0.8
943,9/12/2017,32,0
944,9/13/2017,32,0
945,9/14/2017,32,0.5
946,9/15/2017,32,4.3
947,9/16/2017,32,0
948,9/17/2017,30,1
949,9/18/2017,30,0
950,9/19/2017,32,0.3
951,9/20/2017,32,0
952,9/21/2017,33,0
953,9/22/2017,32,0
954,9/23/2017,32,2.8
955,9/24/2017,33,0
956,9/25/2017,32,0
957,9/26/2017,32,2.4
958,9/27/2017,30,4.9
959,9/28/2017,30,6
960,9/29/2017,30,6.1
961,9/30/2017,30,10.6
962,10/1/2017,30,3.1
963,10/2/2017,30,5.4
964,10/3/2017,31,0.6
965,10/4/2017,29,1.8
966,10/5/2017,30,0.3
967,10/6/2017,26,6.2
968,10/7/2017,29,3.3
969,10/8/2017,30,1.1
970,10/9/2017,30,8.9
971,10/10/2017,30,3.4
972,10/11/2017,30,4.6
973,10/12/2017,31,2.9
974,10/13/2017,30,1.4
975,10/14/2017,31,0.3
976,10/15/2017,31,0
977,10/16/2017,30,7.2
978,10/17/2017,30,0
979,10/18/2017,30,0
980,10/19/2017,30,0
981,10/20/2017,30,0
982,10/21/2017,30,0
983,10/22/2017,30,0
984,10/23/2017,31,0
985,10/24/2017,30,0.9
986,10/25/2017,29,3.9
987,10/26/2017,28,0
988,10/27/2017,28,0
989,10/28/2017,29,0
990,10/29/2017,28,0
991,10/30/2017,28,0
992,10/31/2017,28,0
993,11/1/2017,27,0
994,11/2/2017,27,0
995,11/3/2017,27,0
996,11/4/2017,26,1.6
997,11/5/2017,27,0.4
998,11/6/2017,28,0.1
999,11/7/2017,28,1.1
1000,11/8/2017,28,0
1001,11/9/2017,27,0
1002,11/10/2017,27,0
1003,11/11/2017,27,0
1004,11/12/2017,27,0
1005,11/13/2017,26,0.9
1006,11/14/2017,27,0.5
1007,11/15/2017,29,0
